noms_verna;noms_scient;categories
Aboudikro;Entandrophragma cylindricum;P1
Acajou Bassam;Khaya ivorensis;P1
Acajou blanc;Khaya anthotheca;P1
Acajou grandesfeuille;Khaya grandifoliola;P1
Aiele;Canarium schweinfurthii;P1
Akatio;Chrysophyllum africanum;P1
Ako;Antiaris toxicaria subsp. africana;P1
Akossika grandesfeuil;Scottelia klaineana var. mimfiensis;P1
Alui Tali;Erythrophleum ivorense;P1
Amazakoue;Guirbourtia ehie;P1
Anandio;Chrysophyllum giganteum;P1
Aniegre blanc;Pouteria altissima;P1
Aniegre rouge;Chrysophyllum perpulchrum;P1
Avodire;Turraeanthus africanus;P1
Azobe;Lophira alata;P1
Azodau;Afzelia bella var. gracilor;P1
Badi;Nauclea diderichii;P1
Badi  marais;Nauclea xanthoxylon;P1
Bahia;Hallea ledermannii;P1
Bete;Mansonia altissima;P1
Bodo Tamba;Detarium senegalense;P1
Bosse;Guarea cedrata;P1
Dabema;Piptadeniastrum africanum;P1
Dibetou;Lovoa trichilioides;P1
Difou;Morus mesozygia;P1
Emien;Alstonia boonei;P1
Etimoe;Copaifera salikounda;P1
Faro;Daniellia thurifera;P1
Faro Agboville;Daniellia ogea;P1
Faro ouest;Daniellia pynaertii;P1
Frake Limba;Terminalia superba;P1
Framire;Terminalia ivorensis;P1
Fromager;Ceiba pentadra;P1
Iantandza;Albizia ferruginea;P1
Ilomba;Pycnanthus angolensis;P1
Iroko;Milicia excelsa;P1
Iroko regia;Milicia regia;P1
Kondroti;Bombax brevicuspe;P1
Kosipo;Entandrophragma candollei;P1
Kotibe;Nesogordonia papaverifera;P1
Koto;Pterygota macrocarpa;P1
Koudombourou Pepea;Ficus variifolia;P1
Lati;Amphimas pterocarpoides;P1
Lingue;Afzelia africana;P1
Lotofa;Sterculia rhinopetala;P1
Makore;Thieghemella heckelli;P1
Movingui;Distemonanthus benthamianus;P1
Niangon;Heritiera utilis;P1
Oba;Bombax buonopozense;P1
Okoume;Aucoumea klaineana;P1
Samba;Triplochiton scleroxylon;P1
Sipo;Entandrophragma utile;P1
Tiama;Entandrophragma angolense;P1
Abale;Petersianthus macrocarpus;P2
Adomonteu;Anthonotha fragrans;P2
Akoua;Antrocaryon micraster;P2
Asan;Celtis zenkeri;P2
Ba;Celtis mildbraedii;P2
Bahe;Zanthoxylum gilletii;P2
Bi Eyong;Eribroma oblongum;P2
Bodioa;Anopyxis klaineana;P2
Djimbo;Mammea africana;P2
Eho;Ricinodendron heudelotii;P2
Fara;Stereospermum acuminatissimum;P2
Kekele;Holoptelea grandis;P2
Kroma;Klainedoxa gabonensis;P2
Lannea W;Lannea welwitschii;P2
Lohonfe;Celtis adolphi-fridericii;P2
Melegba;Berlinia confusa;P2
Pocouli;Berlinia occidentalis;P2
Pouo;Funtumia africana;P2
Sougoue;Parinari excelsa;P2
Vaa Limbali;Gilbertiodendron preussii;P2
Zaizou;Gymnostemon zaizou;P2
Aubrevillea kerstingii;Kodabema;P3
Beilschmiedia mannii;Atiokouo Kanda;P3
Brachystegia leonensis;Meblo;P3
Calpocalyx aubrevillei;Guepizou;P3
Chidlovia sanguinea;Bala;P3
Chrysophyllum pruniforme;Boa;P3
Cordia platythyrsa;Bon;P3
Crudia gabonensis;Dobotou;P3
Dacryodes klaineana;Adjouaba;P3
Dialium aubrevillei;Kropio;P3
Didelotia unifoliolata;Broutou;P3
Duguetia staudtii;Aniouketi;P3
Erythroxylum mannii;Dabe;P3
Ficus capensis;Poro;P3
Guarea thompsonii;Mutigbanaye;P3
Inhambanella guereensis;Kantou;P3
Irvingia gabonensis;Boborou;P3
Ochthocosmus africanus;Abrahassa;P3
Oldfieldia africana;Dantoue;P3
Parinari glabra;Aramon;P3
Parkia bicolor;Lo;P3
Pentaclethra macrophylla;Ovala;P3
Pteleopsis hylodendron;Koframire;P3
Pterocarpus santalinoides;Ouokisse;P3
Sacoglottis gabonensis;Akouapo;P3
Scytopetalum tieghemii;Moussangoue;P3
Sterculia tragacantha;Pore-pore;P3
Synsepalum afzelli;Akouedao;P3
Trichilia tessmannii;Aribanda;P3
Uapaca guineensis;Rikio;P3
Xylia evansii;Tchiebuessain;P3
